ID,Nadd,Nlevel
NcessN001,Ncess,N0
NcessN002,Ncess,N0
NcessN003,Ncess,N0
NcessN004,Ncess,N0
NcessN005,Ncess,N0
NcessN021,Ncess,N2
NcessN022,Ncess,N2
NcessN023,Ncess,N2
NcessN024,Ncess,N2
NcessN025,Ncess,N2
NcessN051,Ncess,N5
NcessN052,Ncess,N5
NcessN053,Ncess,N5
NcessN054,Ncess,N5
NcessN055,Ncess,N5
NcessN101,Ncess,N10
NcessN102,Ncess,N10
NcessN103,Ncess,N10
NcessN104,Ncess,N10
NcessN105,Ncess,N10
NcessN151,Ncess,N15
NcessN152,Ncess,N15
NcessN153,Ncess,N15
NcessN154,Ncess,N15
NcessN155,Ncess,N15
NcessN201,Ncess,N20
NcessN202,Ncess,N20
NcessN203,Ncess,N20
NcessN204,Ncess,N20
NcessN205,Ncess,N20
NcessN501,Ncess,N50
NcessN502,Ncess,N50
NcessN503,Ncess,N50
NcessN504,Ncess,N50
NcessN505,Ncess,N50
NcontN001,Ncont,N0
NcontN002,Ncont,N0
NcontN003,Ncont,N0
NcontN004,Ncont,N0
NcontN005,Ncont,N0
NcontN021,Ncont,N2
NcontN022,Ncont,N2
NcontN023,Ncont,N2
NcontN024,Ncont,N2
NcontN025,Ncont,N2
NcontN051,Ncont,N5
NcontN052,Ncont,N5
NcontN053,Ncont,N5
NcontN054,Ncont,N5
NcontN055,Ncont,N5
NcontN101,Ncont,N10
NcontN102,Ncont,N10
NcontN103,Ncont,N10
NcontN104,Ncont,N10
NcontN105,Ncont,N10
NcontN151,Ncont,N15
NcontN152,Ncont,N15
NcontN153,Ncont,N15
NcontN154,Ncont,N15
NcontN155,Ncont,N15
NcontN201,Ncont,N20
NcontN202,Ncont,N20
NcontN203,Ncont,N20
NcontN204,Ncont,N20
NcontN205,Ncont,N20
NcontN501,Ncont,N50
NcontN502,Ncont,N50
NcontN503,Ncont,N50
NcontN504,Ncont,N50
NcontN505,Ncont,N50
